latitude;longitude;altitude(m)
-22.765882;-48.526845;30.000000
-22.763823;-48.532406;30.000000
-22.754688;-48.525861;30.000000
-22.763573;-48.531923;30.000000
-22.763714;-48.531541;30.000000
-22.754929;-48.525547;30.000000
-22.755170;-48.525233;30.000000
-22.763856;-48.531160;30.000000
-22.763997;-48.530778;30.000000
-22.755410;-48.524919;30.000000
-22.755651;-48.524605;30.000000
-22.764138;-48.530396;30.000000
-22.764280;-48.530014;30.000000
-22.755892;-48.524291;30.000000
-22.756133;-48.523977;30.000000
-22.764421;-48.529633;30.000000
-22.764562;-48.529251;30.000000
-22.756373;-48.523664;30.000000
-22.756614;-48.523350;30.000000
-22.764704;-48.528869;30.000000
-22.764845;-48.528488;30.000000
-22.756855;-48.523036;30.000000
-22.757047;-48.522689;30.000000
-22.764986;-48.528106;30.000000
-22.765127;-48.527724;30.000000
-22.757229;-48.522335;30.000000
-22.757410;-48.521980;30.000000
-22.765269;-48.527342;30.000000
-22.765410;-48.526961;30.000000
-22.757592;-48.521626;30.000000
-22.758058;-48.521466;30.000000
-22.765550;-48.526578;30.000000
-22.765677;-48.526186;30.000000
-22.758750;-48.521460;30.000000
-22.759442;-48.521454;30.000000
-22.765803;-48.525795;30.000000
-22.765930;-48.525403;30.000000
-22.760134;-48.521448;30.000000
-22.760826;-48.521442;30.000000
-22.766056;-48.525011;30.000000
-22.766183;-48.524619;30.000000
-22.761518;-48.521436;30.000000
-22.762210;-48.521430;30.000000
-22.766310;-48.524228;30.000000
-22.766436;-48.523836;30.000000
-22.762902;-48.521424;30.000000
-22.763594;-48.521418;30.000000
-22.766563;-48.523444;30.000000
-22.766690;-48.523052;30.000000
-22.764286;-48.521412;30.000000
-22.764978;-48.521406;30.000000
-22.766816;-48.522661;30.000000
-22.766943;-48.522269;30.000000
-22.765670;-48.521400;30.000000
-22.766362;-48.521395;30.000000
-22.767069;-48.521877;30.000000
-22.767196;-48.521485;30.000000
-22.767054;-48.521389;30.000000
-22.767647;-48.521384;30.000000
-22.765882;-48.526845;30.000000
